1,LIGHT POST,2109323.452,609116.074,554.782
2,AIRPORT BOUNDAY WALL WITH FENCING TOP,2109319.738,609140.28,556.679
3,WIND SOCK LT,2109266.968,609010.762,560.638
4,NTRO WATCH TOWER,2109363.319,609222.803,556.508
5,TREE,2109198.54,609106.586,571.051
6,MOBILE ATC ANTENNA LT,2109463.631,609022.583,564.069
7,MOBILE ATC,2109461.005,609017.331,559.115
8,AIRPORT BOUNDAY WALL WITH FENCING TOP,2109236.223,608983.492,558.681
9,MET. INSTRUMENT,2109452.391,609000.082,556.1
10,NORTH COMPASS,2109456.125,609004.368,556.71
11,LIGHT POST,2109239.992,608974.138,556.076
12,LIGHT POST,2109470.234,608995.264,558.095
13,NTRO HANGER LT,2109332.769,609269.559,560.505
14,COCONUT TREE,2109473.163,608994.116,563.002
15,DRDO BUILDING,2109481.807,608997.868,559.652
16,COCONUT TREE,2109467.172,608963.577,569.167
17,FIRE STATION TOP,2109501.129,609004.253,562.192
18,NTRO HANGER ARRESTER,2109344.553,609291.725,559.492
19,BUILDING,2109167.791,609201.899,559.046
20,JACK FRUIT TREE,2109430.835,608924.911,565.29
21,DRDOBUILDING LT,2109451.408,608937.498,564.93
22,POLICE QUATER,2109528.395,609033.18,561.955
23,AIRPORT BOUNDAY WALL WITH FENCING TOP,2109536.154,609146.535,555.532
24,RADIO TRANSMITTER 1,2109135.245,609033.102,574.699
25,COCONUT TREE,2109490.195,608950.294,569.055
26,LIGHT POST,2109415.413,608898.454,560.437
27,FIRE STATION ARRESTER,2109522.111,608992.551,566.181
28,TREE,2109542.683,609151.692,559.763
29,FIRE GATE TOP,2109543.117,609033.832,556.233
30,LIGHT POST,2109552.602,609138.08,560.279
31,DRDO BUILDING LT,2109428.55,608893.224,565.163
32,TERMINAL BUILDING ARRESTER TOP,2109555.601,609032.819,565.27
33,TERMINAL BUILDING TOP,2109561.209,609053.918,561.707
34,DRDO BUILDING,2109452.508,608898.325,565.213
35,BUILDING,2109567.371,609101.162,558.026
36,LIGHT POST,2109559.227,609162.869,560.123
37,LIGHT POST,2109572.083,609093.319,560.858
38,RADIO TRANSMITTER 2 LT,2109107.464,609021.971,574.743
39,TREE,2109572.706,609130.506,560.3
40,VIP GATE,2109576.162,609084.891,555.494
41,DRDO BUILDING,2109408.062,608866.542,566.359
42,TEMPLE LT,2109498.34,608918.158,564.197
43,LIGHT POST,2109394.674,608858.3,560.609
44,SECURITY CHECK-UP ROOM,2109581.08,609081.009,558.209
45,BUILDING  WATER TANK,2109580.306,609125.447,558.634
46,FLAG,2109579.59,609151.769,558.871
47,ABANDONED SECURITY HUT,2109561.555,609205.655,557.196
48,STATE HANGER LT,2109339.258,609356.25,567.017
49,MANGO TREE,2109574.757,609199.047,558.353
50,BUILDING,2109141.944,609274.64,557.749
51,LIGHT POST,2109587.975,609008.397,556.431
52,POLE,2109591.141,609185.277,562.05
53,FLAG,2109601.733,609039.687,558.444
54,STATE BUILDING,2109255.398,609358.867,559.539
55,STATE HANGER ARRESTER,2109347.19,609371.485,567.933
56,BUILDING WATER TANK,2109600.262,609170.003,558.034
57,OHWT,2109477.265,608860.301,572.385
58,LIGHT POST,2109585.947,609213.299,559.273
59,DRDO BUILDING LT,2109392.261,608824.034,569.037
60,STATE ATC TOP,2109418.02,609364.461,556.211
61,ELECTRIC POLE,2109135.446,609294.262,565.496
62,OHWT LT,2109470.705,608851.809,579.202
63,LIGHT POST,2109614.562,609071.968,560.734
64,STATE ATC ANTENNA LT,2109419.659,609367.296,560.539
65,GR. OF TREES,2109066.307,608998.288,577.574
66,AIRPORT BOUNDAY WALL WITH FENCING TOP,2109438.888,609364.634,555.36
67,SFC OFFICE,2109622.841,609077.069,557.122
68,STATE ANTENNA,2109399.503,609379.71,563.223
69,ELECTRIC POLE,2109244.92,609373.011,562.951
70,AIRPORT ENTRY GATE,2109623.796,609059.311,559.242
71,ELECTRIC POLE,2109545.31,608895.576,562.6
72,LIGHT POST,2109614.205,609005.959,562.837
73,TREE,2109111.957,609291.246,581.155
74,DRDO BUILDING LT,2109369.833,608802.991,568.842
75,LIGHT POST,2109630.697,609168.219,559.661
76,GR.OF TREES,2109530.454,608859.932,583.876
77,DRDO BUILDING LT,2109362.71,608790.418,569.392
78,STATE FIRE  STATION TOP,2109347.27,609405.181,557.379
79,SECURITY WATCH TOWER,2109131.045,608859.245,562.988
80,LIGHT POST,2109599.707,609267.623,556.545
81,ELECTRIC POLE,2109650.001,609070.295,563.927
82,BOUNDAY WALL WITH FENCING TOP,2109602.268,609268.003,554.839
83,ELECTRIC POLE,2109311.581,609414.09,562.447
84,COCONUT TREE,2109616.511,609245.223,562.662
85,TREE,2109627.234,609223.587,566.566
